,compound_1,compound_2,label
0,DB00001,P00734,1.0
1,DB00002,P00533,1.0
2,DB00002,O75015,1.0
3,DB00002,P02745,1.0
4,DB00002,P02746,1.0
5,DB00002,P02747,1.0
6,DB00002,P08637,1.0
7,DB00002,P12314,1.0
8,DB00002,P12318,1.0
9,DB00004,P01589,1.0
10,DB00004,P14784,1.0
11,DB00004,P31785,1.0
12,DB00005,P01375,1.0
13,DB00005,P12314,1.0
14,DB00005,P12318,1.0
15,DB00005,P31994,1.0
16,DB00005,P31995,1.0
17,DB00005,P08637,1.0
18,DB00005,O75015,1.0
19,DB00005,P01374,1.0
20,DB00005,P02745,1.0
21,DB00005,P02746,1.0
22,DB00005,P02747,1.0
23,DB00006,P00734,1.0
24,DB00007,P30968,1.0
25,DB00008,P48551,1.0
26,DB00008,P17181,1.0
27,DB00009,P00747,1.0
28,DB00009,P02671,1.0
29,DB00009,Q03405,1.0
30,DB00009,P05121,1.0
31,DB00010,Q02643,1.0
32,DB00011,P48551,1.0
33,DB00011,P17181,1.0
34,DB00012,P19235,1.0
35,DB00013,P00747,1.0
36,DB00013,Q03405,1.0
37,DB00013,P05121,1.0
38,DB00013,P05120,1.0
39,DB00013,P05154,1.0
40,DB00013,P98164,1.0
41,DB00013,Q9Y5Y6,1.0
42,DB00013,P14543,1.0
43,DB00014,P22888,1.0
44,DB00014,P30968,1.0
45,DB00015,P00747,1.0
46,DB00015,P02671,1.0
47,DB00015,P05121,1.0
48,DB00016,P19235,1.0
49,DB00017,P30988,1.0
50,DB00018,P48551,1.0
51,DB00018,P17181,1.0
52,DB00019,Q99062,1.0
53,DB00020,P15509,1.0
54,DB00020,P26951,1.0
55,DB00020,P32927,1.0
56,DB00020,P34741,1.0
57,DB00020,P13727,1.0
58,DB00022,P48551,1.0
59,DB00022,P17181,1.0
60,DB00024,P16473,1.0
61,DB00025,P00742,1.0
62,DB00025,P00740,1.0
63,DB00025,P04275,1.0
64,DB00025,O14832,1.0
65,DB00025,P07307,1.0
66,DB00025,P11021,1.0
67,DB00025,P27797,1.0
68,DB00025,P27824,1.0
69,DB00025,P49257,1.0
70,DB00025,Q07954,1.0
71,DB00025,Q8NI22,1.0
72,DB00026,P14778,1.0
73,DB00028,P12314,1.0
74,DB00028,Q92637,1.0
75,DB00028,P12318,1.0
76,DB00028,P31994,1.0
77,DB00028,P31995,1.0
78,DB00028,P08637,1.0
79,DB00028,O75015,1.0
80,DB00028,P01024,1.0
81,DB00028,P0C0L4,1.0
82,DB00028,P01031,1.0
83,DB00028,P0C0L5,1.0
84,DB00029,P00747,1.0
85,DB00029,P02671,1.0
86,DB00029,P05121,1.0
87,DB00030,P06213,1.0
88,DB00030,P08069,1.0
89,DB00030,P06400,1.0
90,DB00030,P16870,1.0
91,DB00031,P00747,1.0
92,DB00031,P02671,1.0
93,DB00031,Q03405,1.0
94,DB00031,P05121,1.0
95,DB00031,P05120,1.0
96,DB00031,P05452,1.0
97,DB00031,P05787,1.0
98,DB00031,P07355,1.0
99,DB00031,P27797,1.0
100,DB00031,P27824,1.0
101,DB00031,Q07954,1.0
102,DB00032,P22888,1.0
103,DB00032,P23945,1.0
104,DB00033,P38484,1.0
105,DB00033,P15260,1.0
106,DB00034,P48551,1.0
107,DB00034,P17181,1.0
108,DB00035,P30518,1.0
109,DB00035,P37288,1.0
110,DB00035,P47901,1.0
111,DB00036,P00742,1.0
112,DB00036,P08709,1.0
113,DB00036,P38435,1.0
114,DB00036,P10646,1.0
115,DB00036,P13726,1.0
116,DB00038,Q14626,1.0
117,DB00039,P21802,1.0
118,DB00039,P11362,1.0
119,DB00039,P98160,1.0
120,DB00040,P47871,1.0
121,DB00040,P43220,1.0
122,DB00040,O95838,1.0
123,DB00041,P14784,1.0
124,DB00041,P01589,1.0
125,DB00041,P31785,1.0
126,DB00042,P63027,1.0
127,DB00042,P23763,1.0
128,DB00042,Q8N9I0,1.0
129,DB00043,P12319,1.0
130,DB00043,Q01362,1.0
131,DB00044,P22888,1.0
132,DB00045,O60603,1.0
133,DB00046,P06213,1.0
134,DB00046,P08069,1.0
135,DB00047,P06213,1.0
136,DB00047,P08069,1.0
137,DB00048,P02452,1.0
138,DB00048,P02461,1.0
139,DB00048,P02458,1.0
140,DB00050,P22888,1.0
