,Drug ID,Target ID,Label
0,DB00001,P00734,1
1,DB00002,P00533,1
2,DB00002,O75015,1
3,DB00002,P02745,1
4,DB00002,P02746,1
5,DB00002,P02747,1
6,DB00002,P08637,1
7,DB00002,P12314,1
8,DB00002,P12318,1
9,DB00004,P01589,1
10,DB00004,P14784,1
11,DB00004,P31785,1
12,DB00005,P01375,1
13,DB00005,P12314,1
14,DB00005,P12318,1
15,DB00005,P31994,1
16,DB00005,P31995,1
17,DB00005,P08637,1
18,DB00005,O75015,1
19,DB00005,P01374,1
20,DB00005,P02745,1
21,DB00005,P02746,1
22,DB00005,P02747,1
23,DB00006,P00734,1
24,DB00007,P30968,1
25,DB00008,P48551,1
26,DB00008,P17181,1
27,DB00009,P00747,1
28,DB00009,P02671,1
29,DB00009,Q03405,1
30,DB00009,P05121,1
31,DB00010,Q02643,1
32,DB00011,P48551,1
33,DB00011,P17181,1
34,DB00012,P19235,1
35,DB00013,P00747,1
36,DB00013,Q03405,1
37,DB00013,P05121,1
38,DB00013,P05120,1
39,DB00013,P05154,1
40,DB00013,P98164,1
41,DB00013,Q9Y5Y6,1
42,DB00013,P14543,1
43,DB00014,P22888,1
44,DB00014,P30968,1
45,DB00015,P00747,1
46,DB00015,P02671,1
47,DB00015,P05121,1
48,DB00016,P19235,1
49,DB00017,P30988,1
50,DB00018,P48551,1
51,DB00018,P17181,1
52,DB00019,Q99062,1
53,DB00020,P15509,1
54,DB00020,P26951,1
55,DB00020,P32927,1
56,DB00020,P34741,1
57,DB00020,P13727,1
58,DB00022,P48551,1
59,DB00022,P17181,1
60,DB00024,P16473,1
61,DB00025,P00742,1
62,DB00025,P00740,1
63,DB00025,P04275,1
64,DB00025,O14832,1
65,DB00025,P07307,1
66,DB00025,P11021,1
67,DB00025,P27797,1
68,DB00025,P27824,1
69,DB00025,P49257,1
70,DB00025,Q07954,1
71,DB00025,Q8NI22,1
72,DB00026,P14778,1
73,DB00028,P12314,1
74,DB00028,Q92637,1
75,DB00028,P12318,1
76,DB00028,P31994,1
77,DB00028,P31995,1
78,DB00028,P08637,1
79,DB00028,O75015,1
80,DB00028,P01024,1
81,DB00028,P0C0L4,1
82,DB00028,P01031,1
83,DB00028,P0C0L5,1
84,DB00029,P00747,1
85,DB00029,P02671,1
86,DB00029,P05121,1
87,DB00030,P06213,1
88,DB00030,P08069,1
89,DB00030,P06400,1
90,DB00030,P16870,1
91,DB00031,P00747,1
92,DB00031,P02671,1
93,DB00031,Q03405,1
94,DB00031,P05121,1
95,DB00031,P05120,1
96,DB00031,P05452,1
97,DB00031,P05787,1
98,DB00031,P07355,1
99,DB00031,P27797,1
100,DB00031,P27824,1
101,DB00031,Q07954,1
102,DB00032,P22888,1
103,DB00032,P23945,1
104,DB00033,P38484,1
105,DB00033,P15260,1
106,DB00034,P48551,1
107,DB00034,P17181,1
108,DB00035,P30518,1
109,DB00035,P37288,1
110,DB00035,P47901,1
111,DB00036,P00742,1
112,DB00036,P08709,1
113,DB00036,P38435,1
114,DB00036,P10646,1
115,DB00036,P13726,1
116,DB00038,Q14626,1
117,DB00039,P21802,1
118,DB00039,P11362,1
119,DB00039,P98160,1
120,DB00040,P47871,1
121,DB00040,P43220,1
122,DB00040,O95838,1
123,DB00041,P14784,1
124,DB00041,P01589,1
125,DB00041,P31785,1
126,DB00042,P63027,1
127,DB00042,P23763,1
128,DB00042,Q8N9I0,1
129,DB00043,P12319,1
130,DB00043,Q01362,1
131,DB00044,P22888,1
132,DB00045,O60603,1
133,DB00046,P06213,1
134,DB00046,P08069,1
135,DB00047,P06213,1
136,DB00047,P08069,1
137,DB00048,P02452,1
138,DB00048,P02461,1
139,DB00048,P02458,1
140,DB00050,P22888,1
141,DB00050,P30968,1
142,DB00051,P01375,1
143,DB00052,P10912,1
144,DB00052,P16471,1
145,DB00054,P05106,1
146,DB00054,P08514,1
147,DB00054,P12318,1
148,DB00054,P31994,1
149,DB00054,P04004,1
150,DB00055,P00451,1
151,DB00055,P12259,1
152,DB00055,P00734,1
153,DB00055,P05121,1
154,DB00055,P07225,1
155,DB00055,P02776,1
156,DB00055,P07204,1
157,DB00055,Q9UNN8,1
158,DB00055,P05154,1
159,DB00055,P35237,1
160,DB00056,P20138,1
161,DB00056,P12314,1
162,DB00056,O75015,1
163,DB00056,P08637,1
164,DB00058,P08246,1
165,DB00060,P17181,1
166,DB00060,P48551,1
167,DB00061,P62993,1
168,DB00063,P05106,1
169,DB00065,P01375,1
170,DB00066,P23945,1
171,DB00067,P30518,1
172,DB00067,P37288,1
173,DB00067,P47901,1
174,DB00068,P48551,1
175,DB00068,P17181,1
176,DB00069,P48551,1
177,DB00069,P17181,1
178,DB00070,P01137,1
179,DB00071,P06213,1
180,DB00071,P08069,1
181,DB00071,P14735,1
182,DB00071,P01906,1
183,DB00071,P01920,1
184,DB00071,P06400,1
185,DB00071,P07339,1
186,DB00071,P16870,1
187,DB00071,P16519,1
188,DB00071,P29120,1
189,DB00071,P48745,1
190,DB00071,P98164,1
191,DB00071,Q16270,1
192,DB00071,Q96C24,1
193,DB00072,P04626,1
194,DB00073,P11836,1
195,DB00074,P01589,1
196,DB00074,P14784,1
197,DB00075,P04234,1
198,DB00075,P07766,1
199,DB00075,P09693,1
200,DB00075,P20963,1
201,DB00075,O75015,1
202,DB00078,P11836,1
203,DB00081,P11836,1
204,DB00081,P31994,1
205,DB00082,P10912,1
206,DB00083,P60880,1
207,DB00083,P62745,1
208,DB00086,P00747,1
209,DB00086,P25116,1
210,DB00087,P31358,1
211,DB00087,O75015,1
212,DB00087,P08637,1
213,DB00087,P12314,1
214,DB00087,P12318,1
215,DB00087,P31994,1
216,DB00087,P31995,1
217,DB00089,Q04609,1
218,DB00091,P49069,1
219,DB00091,Q96LZ3,1
220,DB00091,P62937,1
221,DB00091,P30405,1
222,DB00092,P06729,1
223,DB00092,P08637,1
224,DB00092,O75015,1
225,DB00094,P23945,1
226,DB00095,P20701,1
227,DB00095,P20702,1
228,DB00097,P22888,1
229,DB00097,P23945,1
230,DB00098,P06126,1
231,DB00098,Q95460,1
232,DB00098,P20701,1
233,DB00098,P42081,1
234,DB00098,P31994,1
235,DB00098,P01730,1
236,DB00098,P05556,1
237,DB00098,P06756,1
238,DB00098,P05106,1
239,DB00099,P08246,1
240,DB00099,Q99062,1
241,DB00100,P00742,1
242,DB00100,P03951,1
243,DB00100,P08709,1
244,DB00100,P00451,1
245,DB00100,P00734,1
246,DB00100,Q07954,1
247,DB00100,P38435,1
248,DB00102,P09619,1
249,DB00102,P16234,1
250,DB00102,P01023,1
251,DB00105,P48551,1
252,DB00105,P17181,1
253,DB00106,P30968,1
254,DB00107,P30559,1
255,DB00107,P01178,1
256,DB00108,P13612,1
