compound0,compound1,similarity
DB01421,DB04465,0.6207
DB01421,DB00479,0.7
DB01421,DB01172,0.7761
DB01421,DB15617,0.5098
DB01421,DB00581,0.5287
DB01421,DB08818,0.5748
DB01421,DB00684,0.7035
DB01421,DB03615,0.8367
DB01421,DB00452,0.9558
DB01421,DB02772,0.5057
DB00865,DB00366,0.5321
DB00865,DB01246,0.5357
DB00865,DB04825,0.6032
DB00865,DB06413,0.566
DB00865,DB01620,0.5769
DB00865,DB00420,0.5091
DB00865,DB01231,0.5
DB00865,DB01176,0.5405
DB00865,DB00735,0.5641
DB00865,DB11160,0.6355
DB00865,DB01244,0.6107
DB00865,DB01116,0.5581
DB00865,DB12532,0.5517
DB00865,DB04837,0.5741
DB00865,DB00647,0.6393
DB00865,DB00182,0.575
DB00865,DB00924,0.531
DB00865,DB08799,0.6429
DB00865,DB00600,0.5208
DB00865,DB00792,0.6355
DB00865,DB00745,0.566
DB00865,DB13720,0.531
DB00865,DB00809,0.5179
DB00865,DB01227,0.5968
DB00865,DB01182,0.5161
DB00865,DB06152,0.5263
DB00865,DB01091,0.5
DB00865,DB01625,0.5528
DB00865,DB00946,0.5
DB00865,DB01237,0.5138
DB00865,DB00289,0.5607
DB00865,DB01037,0.6813
DB00865,DB01616,0.6667
DB00865,DB11584,0.5045
DB00865,DB01577,0.5783
DB00865,DB00245,0.5
DB00865,DB01069,0.5505
DB00865,DB00812,0.5254
DB00865,DB00392,0.5217
DB00865,DB01173,0.5872
DB00865,DB13501,0.531
DB00865,DB00726,0.5217
DB00865,DB00252,0.5234
DB00865,DB00675,0.5113
DB00865,DB00925,0.708
DB00865,DB01075,0.6542
DB00865,DB00813,0.56
DB00865,DB07776,0.5098
DB00865,DB00991,0.5172
DB00865,DB00539,0.5
DB00865,DB01576,0.575
DB00865,DB01146,0.5263
DB00865,DB01626,0.5581
DB00865,DB00333,0.6379
DB00865,DB11071,0.5102
DB00301,DB01603,0.7152
DB00301,DB00417,0.6259
DB00301,DB00607,0.6708
DB00301,DB09319,0.5475
DB00301,DB00415,0.6301
DB00301,DB01060,0.6216
DB00301,DB01000,0.5455
DB00301,DB01604,0.503
DB00301,DB01053,0.6389
DB00301,DB00578,0.6093
DB00301,DB01147,0.875
DB00301,DB00485,0.9259
DB00301,DB00319,0.5475
DB00301,DB01602,0.5
DB00301,DB00713,0.8228
DB00301,DB00739,0.5195
DB00301,DB01061,0.5562
DB00301,DB00948,0.5393
DB00301,DB01607,0.5946
DB01082,DB00284,0.5112
DB01082,DB04465,0.5389
DB01082,DB00479,0.5352
DB01082,DB01172,0.5464
DB01082,DB08818,0.5182
DB01082,DB03615,0.5503
DB09095,DB00223,0.8158
DB09095,DB01013,0.5839
DB09095,DB01047,0.6864
DB09095,DB00180,0.6164
DB09095,DB00547,0.8514
DB09095,DB14669,0.6
DB09095,DB00896,0.527
DB09095,DB08906,0.6705
DB09095,DB00443,0.6667
DB09095,DB00288,0.5257
DB09095,DB00663,0.8158
DB09095,DB00846,0.5157
DB09095,DB06781,0.6512
DB09095,DB13867,0.7742
DB09095,DB14649,0.6076
DB09095,DB00838,0.9067
DB09095,DB00240,0.5733
DB09095,DB13158,0.5333
DB09095,DB00324,0.6939
DB09095,DB00620,0.64
DB09095,DB00596,0.7895
DB09095,DB01234,0.6667
DB09095,DB01260,0.5223
DB09095,DB00860,0.5205
DB09095,DB00959,0.5946
DB09095,DB01222,0.5217
DB09095,DB00588,0.7108
DB09095,DB00591,0.7578
DB06694,DB00935,0.78
DB08893,DB01102,0.5342
DB08893,DB14895,0.5311
DB08893,DB01182,0.5229
DB08893,DB06603,0.5
DB08893,DB00598,0.5405
DB01605,DB01000,0.5139
DB01605,DB01604,0.6071
DB00736,DB00448,0.5693
DB00736,DB00213,0.6714
DB00736,DB01129,0.6043
DB00736,DB05351,0.5693
DB00736,DB00338,0.9403
DB14527,DB05260,0.96
DB00788,DB00712,0.6186
DB00788,DB00573,0.6122
DB00788,DB06594,0.5918
DB00788,DB01428,0.5684
DB00788,DB09212,0.5155
DB00788,DB01009,0.56
DB00788,DB01050,0.5747
DB00788,DB00870,0.5567
DB00788,DB00461,0.7368
DB00788,DB00328,0.5
DB00788,DB00821,0.62
DB00788,DB09214,0.56
DB00788,DB09213,0.5747
DB00788,DB11221,0.5567
DB00710,DB00282,0.6582
DB00710,DB01077,0.5479
DB00710,DB00399,0.5169
DB00710,DB00630,0.6829
DB00710,DB00884,0.5
DB09054,DB11952,0.7684
DB01407,DB01291,0.5393
DB01407,DB01001,0.6067
DB01407,DB00871,0.6744
DB01407,DB13139,0.6067
DB09327,DB09256,0.78
DB09327,DB00322,0.5234
DB01024,DB00688,0.7651
DB08860,DB01076,0.5545
DB08860,DB01098,0.6286
DB08860,DB00439,0.6591
DB08860,DB01095,0.7647
DB00590,DB00457,0.7886
DB00590,DB00346,0.5402
DB00590,DB01162,0.7886
DB00590,DB00843,0.5
DB00418,DB00599,0.7126
DB00418,DB01154,0.8667
DB00418,DB01351,0.6667
DB00418,DB00237,0.7381
DB00418,DB01174,0.5
DB00418,DB00306,0.8966
DB00418,DB01353,0.6353
DB00418,DB00241,0.7356
DB00418,DB00474,0.6105
DB00418,DB00312,0.8506
DB00656,DB06684,0.5
DB00656,DB01063,0.525
DB00656,DB00831,0.5256
DB00656,DB04908,0.6282
DB00656,DB06282,0.5195
DB00656,DB01624,0.529
DB00656,DB00557,0.5132
DB00656,DB01149,0.7674
DB00656,DB00408,0.5035
DB00656,DB00623,0.5062
DB00656,DB00372,0.529
DB00656,DB00850,0.5806
DB00656,DB00363,0.5035
DB00656,DB09128,0.5119
DB00656,DB01238,0.5276
DB00656,DB01184,0.5276
DB00656,DB01224,0.5256
DB00656,DB00341,0.5195
DB00656,DB00246,0.519
DB00656,DB00433,0.604
DB00844,DB01192,0.6471
DB00844,DB01183,0.6761
DB00844,DB00921,0.6667
DB00844,DB11691,0.5803
DB00844,DB00295,0.5522
DB00844,DB00611,0.6573
DB00844,DB00497,0.5468
DB00844,DB06800,0.6122
DB00844,DB00327,0.5224
DB00844,DB00704,0.8
DB00844,DB09049,0.5192
DB00844,DB06230,0.8
DB00572,DB00422,0.5505
DB00572,DB00889,0.5397
DB00572,DB00462,0.6984
DB00572,DB00907,0.5738
DB00572,DB11699,0.7107
DB00572,DB00332,0.7559
DB00572,DB00979,0.5042
DB00572,DB00725,0.6667
DB00572,DB00757,0.5077
DB00572,DB09300,0.6567
DB00572,DB04838,0.5913
DB00572,DB11181,0.8889
DB00572,DB00424,1.0
DB00572,DB00245,0.6875
DB00572,DB00747,0.7642
DB00572,DB06701,0.5505
DB00106,DB06699,0.8463
DB00106,DB00050,0.8897
DB00106,DB00403,0.6034
DB00106,DB00014,0.6742
DB00106,DB00006,0.5576
DB00106,DB06825,0.685
DB00106,DB00644,0.6589
DB00106,DB00007,0.6795
DB00106,DB06788,0.6926
DB00106,DB04931,0.6766
DB00106,DB01284,0.5105
DB00106,DB11842,0.6351
DB00106,DB00666,0.7432
DB00106,DB06785,0.8412
DB00304,DB09070,0.5116
DB00304,DB01406,0.5147
DB00304,DB00367,0.7077
DB00304,DB00957,0.5816
DB00304,DB00977,0.5354
DB00304,DB01357,0.5231
DB00304,DB09389,0.7077
DB00304,DB06713,0.6917
DB00304,DB11619,0.5077
DB00304,DB04575,0.5315
DB00304,DB00717,0.6142
DB00304,DB00294,0.8485
DB00304,DB09371,0.5512
DB01100,DB04908,0.5251
DB01100,DB06144,0.5185
DB01100,DB04842,0.7662
DB01100,DB00342,0.5427
DB01100,DB00973,0.5652
DB01100,DB01430,0.52
DB01100,DB00637,0.603
DB01100,DB00950,0.5392
DB01100,DB00450,0.6111
DB01100,DB04841,0.6417
DB01100,DB01184,0.6667
DB08899,DB00665,0.507
DB08899,DB11901,0.7701
DB08899,DB01128,0.5309
DB04896,DB11186,0.5378
DB04896,DB00937,0.5714
DB04896,DB00454,0.5149
DB04896,DB08918,1.0
DB08934,DB14761,0.586
DB08934,DB09299,0.5579
DB11186,DB00804,0.5455
DB11186,DB00721,0.5172
DB11186,DB01062,0.5455
DB11186,DB00979,0.5781
DB11186,DB00892,0.5077
DB11186,DB09342,0.5197
DB11186,DB00454,0.6333
DB11186,DB00807,0.5197
DB11186,DB00527,0.5
DB11186,DB08918,0.5378
DB11186,DB00913,0.5417
DB14533,DB09129,0.5714
DB14533,DB01164,0.6667
DB00796,DB00966,0.5103
DB00796,DB00678,0.5046
DB00796,DB01029,0.5156
DB00796,DB00275,0.6071
DB00796,DB08822,0.6746
DB12825,DB01256,0.8351
DB14539,DB01406,0.5067
DB14539,DB08867,0.5
DB14539,DB06789,0.6545
DB14539,DB14631,0.7125
DB14539,DB14669,0.5
DB14539,DB00896,0.5658
DB14539,DB14544,0.7904
DB14539,DB14542,0.875
DB14539,DB06786,0.5399
DB14539,DB14540,0.8049
DB14539,DB00288,0.581
DB14539,DB11921,0.6467
DB14539,DB00396,0.6573
DB14539,DB01395,0.5128
DB14539,DB13946,0.5549
DB14539,DB00624,0.6377
DB14539,DB09091,0.88
DB14539,DB00687,0.6842
DB14539,DB14541,0.8362
DB14539,DB06780,0.7403
DB14539,DB00253,0.6122
DB14539,DB00635,0.6
DB14539,DB00741,0.88
DB14539,DB06710,0.6714
DB14539,DB01380,0.8481
DB14539,DB00846,0.5767
DB14539,DB13944,0.5963
DB14539,DB06781,0.5227
DB14539,DB01420,0.6443
DB14539,DB14649,0.6049
DB14539,DB00700,0.5521
DB14539,DB01410,0.5745
DB14539,DB01130,0.6286
DB14539,DB12499,0.6918
DB14539,DB00351,0.5806
DB14539,DB09124,0.5442
DB14539,DB00378,0.5455
DB14539,DB14543,0.7771
DB14539,DB00421,0.575
DB14539,DB14596,0.6228
DB14539,DB00324,0.5166
DB14539,DB01260,0.5466
DB14539,DB00860,0.7067
DB14539,DB00717,0.5248
DB14539,DB00603,0.6323
DB14539,DB13943,0.5697
DB14539,DB15566,0.8354
DB14539,DB00959,0.6184
DB14539,DB14583,0.5621
DB14539,DB01185,0.6111
DB14539,DB01222,0.5333
DB14539,DB00769,0.8721
DB00944,DB01400,0.5132
